aircraftID,name,aircraftType
7ABGBRE29UR378311,McDonnell Douglas MD82,M82
WFNGV1PZ5SL446408,Antonov An-124 Ruslan,A4F
N8723W2WU3XU98031,Airbus A310-300,313
6K46AYRZ6ENA96631,Boeing 787-10,781
Y1JJGY6TPJY544966,Boeing 737-600,736
3WKRZP83ZSLV97667,Boeing 737 MAX 8,7M8
663K2BNDRXCB22892,Tupolev Tu-204,T20
767SGUPS4WWR27188,Embraer 195,E95
MSL1MMNK1YNN98203,Airbus A340,340
0K5MH5KWU0DL85362,Antonov An-26,A26
66MW79C9FVEU75269,Boeing 747-400D,74J
RBSJ53HVKLTK55664,Airbus A330-200,332
SDPLHE93Y8YK19994,Airbus A330-900neo,339
6MJAB6W1YFBX88215,Canadair CL-44,CL4
L1HMEZJD3ZKW62296,Airbus A350,350
43SF5N2D6PAE40069,De Havilland Canada DHC-6 Twin Otter,DHT
69WWBNMP20P297576,Boeing 777-200,772
3G9N5KDKFCNW46507,Boeing 747-100,741
MMJC0ANY84C729060,Douglas DC-9-50,D95
T9XBR5YMARUK32337,Boeing 777-200,772
03MXARM8PUU745022,Boeing 777-300ER,77W
RXDECWVEDHR190949,Airbus A330-800neo,338
B5UTEHTS8JC385021,Ilyushin IL114,I14
0DF4KHH02LHG59764,Airbus A340-200,342
J89C19L7TYGK66429,Embraer RJ140,ERD
W4G8307FZ7JJ63193,Tupolev Tu-204,T20
EX1JSY0JZLXM35459,Boeing 747-400,744
TPTTLLN02UV011698,Boeing 737 MAX 9,7M9
JVNELUGR57F815947,McDonnell Douglas MD90,M90
83RS89YE5CBH40666,Embraer RJ135,ER3
JGTA84U782MH93413,Boeing 737,737
PC42WY01JKAH85332,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2
PVP5KEAKK0F098327,Ilyushin IL18,IL8
KWEGKE4N79AK79703,McDonnell Douglas MD83,M83
BSC3N0FVR5HD61017,McDonnell Douglas MD11,M11
K9G5WYY69HEA67507,Embraer RJ140,ERD
0J1AB12198F737035,Boeing 717,717
MEVBTFAJJKGM11834,Boeing 737,737
T7NTGYYNL9P323109,Boeing 767-200,762
6LCX25NR06RR67270,Airbus A330-900neo,339
1L5UAXKL36ME18088,De Havilland Canada DHC-3 Otter,DHL
3TTDJDR59LBH90977,Airbus A340-500,345
NXR846HEZKJ322430,Douglas DC-8-72,D8Q
KYB0FV2F1AUH90890,Airbus A300,AB3
6421Y5N1LZP524480,Tupolev Tu-204,T20
TWPLDGG6TFPJ36355,Boeing 727-200,722
AL06752395HR31183,Douglas DC-9-20,D92
U4P6KJ080YKA11591,Boeing 787-9,789
4FJHYL30NUJD42845,Airbus A350,350
CSY0LAS2U0BC88441,Douglas DC-9-10,D91
ZN7PNEMESNU592928,McDonnell Douglas MD80,M80
LG49UXU9B6P079698,Antonov An-28,A28
