flightNumber,originIATA,destinationIATA,airline,aircraftID,year,month
27761,CHC,KRT,Iberia,7ABGBRE29UR378311,2015,01
87152,CWB,SSH,Qatar,WFNGV1PZ5SL446408,2015,01
11415,ZQN,CNF,Qatar,N8723W2WU3XU98031,2015,01
73965,ZRH,ORL,American,6K46AYRZ6ENA96631,2015,01
59908,BEL,IAD,British Airways,Y1JJGY6TPJY544966,2015,01
33173,MXP,SEA,American,3WKRZP83ZSLV97667,2015,01
57506,IST,LAX,Iberia,663K2BNDRXCB22892,2015,01
95882,RAK,MAN,Qatar,767SGUPS4WWR27188,2015,01
66847,ARN,DMK,British Airways,MSL1MMNK1YNN98203,2015,01
66572,TSV,FRA,Qatar,0K5MH5KWU0DL85362,2015,01
45072,BEL,CPT,American,66MW79C9FVEU75269,2015,01
74962,MCY,CGK,British Airways,RBSJ53HVKLTK55664,2015,01
24917,YYZ,KRT,Emirates,SDPLHE93Y8YK19994,2015,01
40394,ATH,DLA,Iberia,6MJAB6W1YFBX88215,2015,01
35664,LAX,CKG,American,L1HMEZJD3ZKW62296,2015,01
99637,CBR,LGW,Qatar,43SF5N2D6PAE40069,2015,01
70860,ABJ,EZE,American,69WWBNMP20P297576,2015,01
18366,ARN,MAN,Iberia,3G9N5KDKFCNW46507,2015,01
30810,BCN,LAD,Qatar,MMJC0ANY84C729060,2015,01
35920,GYN,EBB,LATAM,T9XBR5YMARUK32337,2015,01
20916,NAN,BKK,Qatar,03MXARM8PUU745022,2015,01
36784,NBO,VIE,LATAM,RXDECWVEDHR190949,2015,01
57211,CMN,MDW,British Airways,B5UTEHTS8JC385021,2015,01
10245,SYD,LIS,LATAM,0DF4KHH02LHG59764,2015,01
96824,TIJ,ABV,Iberia,J89C19L7TYGK66429,2015,01
95851,PMR,NRT,Qatar,W4G8307FZ7JJ63193,2015,01
31957,CPH,CHC,Iberia,EX1JSY0JZLXM35459,2015,01
70230,IST,PER,American,TPTTLLN02UV011698,2015,01
78238,LAX,MIR,Qatar,JVNELUGR57F815947,2015,01
95624,HGH,HEL,Emirates,83RS89YE5CBH40666,2015,01
31702,AGA,MAD,Iberia,JGTA84U782MH93413,2015,02
96737,NKG,EWR,Emirates,PC42WY01JKAH85332,2015,02
51946,LAX,TSV,British Airways,PVP5KEAKK0F098327,2015,02
58983,MCY,FOR,LATAM,KWEGKE4N79AK79703,2015,02
29709,MXP,PLZ,British Airways,BSC3N0FVR5HD61017,2015,02
68683,CKG,SVO,LATAM,K9G5WYY69HEA67507,2015,02
46302,BOS,CWB,Iberia,0J1AB12198F737035,2015,02
76053,YVR,MXP,British Airways,MEVBTFAJJKGM11834,2015,02
82040,LGA,SFO,Iberia,T7NTGYYNL9P323109,2015,02
17799,AKL,LAS,American,6LCX25NR06RR67270,2015,02
78911,GIG,TSV,Emirates,1L5UAXKL36ME18088,2015,02
13159,ORL,ZQN,British Airways,3TTDJDR59LBH90977,2015,02
40070,CBR,SGN,British Airways,NXR846HEZKJ322430,2015,02
60378,OOL,MEL,Emirates,KYB0FV2F1AUH90890,2015,02
61288,HGH,DUR,Qatar,6421Y5N1LZP524480,2015,02
50019,DJE,BOS,LATAM,TWPLDGG6TFPJ36355,2015,02
54306,ORN,AEP,American,AL06752395HR31183,2015,02
58406,CKG,PLZ,British Airways,U4P6KJ080YKA11591,2015,02
98389,BRU,JFK,American,4FJHYL30NUJD42845,2015,02
35879,DUR,ASP,Iberia,CSY0LAS2U0BC88441,2015,02
32560,KUL,GRU,Qatar,ZN7PNEMESNU592928,2015,02
14469,KUL,AYT,LATAM,LG49UXU9B6P079698,2015,02
20670,ORD,VCP,British Airways,FSKYDHE77TX276733,2015,02
97120,ATL,MDW,British Airways,SK9LZPA630RE79107,2015,02
90169,SFO,CAN,LATAM,UG2M181WR6AU35843,2015,02
47317,LOS,CAI,LATAM,64Z82FY567W148837,2015,02
23240,CAN,BRU,LATAM,HTD5C3AH9JYG91508,2015,02
83587,JNB,TUN,LATAM,2EYAHWK6M5ZW98032,2015,02
15495,NAN,DKR,American,3S200RWU0KC163519,2015,02
73851,SSH,ADD,Iberia,C299HSD2KPWJ70261,2015,02
46380,JFK,LAX,British Airways,YD84KMSTYDEX27070,2015,03
65771,MAN,ABV,Iberia,FS8M2BGAZXNZ65573,2015,03
99943,SLC,PER,Emirates,WYF5PDDC52Y186203,2015,03
19760,TUN,ABJ,LATAM,X6J18E6EJVJV73556,2015,03
51646,MCO,DAR,Iberia,6U889Y90UJK920170,2015,03
52014,CKG,MAN,Iberia,1A3P9EZF8ZUX78761,2015,03
66424,ADL,SCL,American,AVK173UCEUD444863,2015,03
62281,LAS,FCO,British Airways,ENMUE257FBRN12550,2015,03
19093,POM,LST,Emirates,ZWJMMNWNWZT755792,2015,03
39080,POA,MUN,LATAM,52LT8JFX86NJ68831,2015,03
49053,CNF,AMS,American,NF3VRJA9EHL515151,2015,03
91097,AMS,JNB,Qatar,ZVG66B55F1Z061008,2015,03
31236,ZRH,MEL,British Airways,G2VL107U6RXZ98854,2015,03
28211,CWB,NKG,LATAM,504Y4GEZTBAY46672,2015,03
48147,YVR,DEL,British Airways,840R4TTE1NMN90076,2015,03
22316,SFO,SAN,British Airways,R1GTNC2MLTMX64277,2015,03
64528,ARN,DEL,American,N3MC47P6XLNY79724,2015,03
13945,TIJ,KTA,Qatar,77DN5TAFNCXE36422,2015,03
94542,LGA,DUB,Iberia,B0WWRHXCNFR429009,2015,03
79283,MIR,BOS,American,VTZW7SS5S6X814684,2015,03
29492,MIR,PVG,Iberia,8J39YLTJUEX543683,2015,03
58267,SLC,LIM,British Airways,K5MDVE18W7ZH45374,2015,03
79361,LHR,DJE,Iberia,JUWV93T8Y5ZM85728,2015,03
41828,KMG,ADL,LATAM,0ES5HM6YM7MR70760,2015,03
99346,AMS,WLG,American,W954HGLTAFLT72371,2015,03
20547,SCL,NBO,British Airways,RXGN95WGF6JM87963,2015,03
11398,BEL,PMI,LATAM,SDBSJ4GHMXYE28946,2015,03
37382,PHX,POM,British Airways,C99205WGB4AG85042,2015,03
82012,TSV,KIX,LATAM,ASCAJH802LD021839,2015,03
78045,HAV,ORL,American,3XTRVDDSV7WZ28521,2015,03
57712,MEL,BOG,British Airways,X69C4KT9U1UR63045,2015,04
61827,TXL,ACC,British Airways,H6ATBX3D5XJX67311,2015,04
37969,HKG,BKK,American,DNRVWRCY01MA87218,2015,04
45227,DMK,ZRH,Qatar,1C3BEBRJ1GTY57536,2015,04
65992,RAK,PHE,American,TF8CXD85UCB754366,2015,04
58181,GRU,CTU,LATAM,K7L2NPABXEZD51409,2015,04
25429,KTA,DME,Iberia,6RE03C6Z58N835010,2015,04
92732,AGA,DXB,Iberia,TRCHKEMV0CNL16766,2015,04
86844,MAD,AEP,British Airways,4T379WV52WK088724,2015,04
37332,CGH,BEL,Qatar,881D0JR5LYJZ18576,2015,04
10661,SSA,CDG,Emirates,56A1VZXY4PV549635,2015,04
34992,DFW,WLG,American,4340A21E4RKW75792,2015,04
43703,MKY,DME,British Airways,BWLMEZFGVMFF25825,2015,04
45729,PTY,DFW,LATAM,CS3XEHH9S4TN71518,2015,04
41248,KMG,MXP,Iberia,YB4C5E8GX0FM45270,2015,04
37513,MAD,ATL,LATAM,PSZVAHL7YDD334278,2015,04
87077,SDU,REC,American,1PJGXFRC87A311157,2015,04
28901,KRT,DTW,Emirates,NVHKKNK27HEC82961,2015,04
13184,ROK,LIM,British Airways,U1SNNWPMKMNF34536,2015,04
82069,BOS,CGK,Qatar,X5NMG07RDJBY60737,2015,04
82104,MEL,CNS,Iberia,RYBHMK4ZG3W299757,2015,04
86643,LAS,AMS,Qatar,UC30BJ8LDYGL53628,2015,04
53797,GRU,CPT,Qatar,L0T96511ZYV660492,2015,04
17415,KIX,MRU,LATAM,1CKBB2K922WC11814,2015,04
11626,FOR,SCL,Iberia,GT3JL397VJLH88926,2015,04
97224,BOS,STN,LATAM,X20R7EJXG8MW27439,2015,04
13054,HBE,LAX,Qatar,G6HL7LAD2MYM56243,2015,04
22747,DXB,DRW,Iberia,GE3MT4EY8WBG11955,2015,04
73847,MUC,PTY,British Airways,Z0G3FC27T1CS18858,2015,04
93839,NTL,ZQN,Emirates,JLY04RGMGZVV67978,2015,04
50858,RAK,DRW,American,FKESU01T5HW140766,2015,05
70758,ABV,DUS,American,4EWV5TD579GC70842,2015,05
24658,DFW,HBE,Iberia,T6YTD58S8ADU43359,2015,05
71709,HRG,SJO,Qatar,LRCLPK0YP2LU45585,2015,05
62187,MUN,POM,LATAM,83C4CETGVCZ347452,2015,05
96880,CNF,HAV,British Airways,XAFFCE8J3RTV16198,2015,05
67195,DUB,MAD,LATAM,RHJD9K5SGEHX84560,2015,05
30066,BRU,LIM,American,LWUFVTVZHFVK93878,2015,05
36301,GYN,ORN,Qatar,7T9D2DVKPECX49337,2015,05
11406,CPH,ADL,American,P4Z5L9RTB2UA98677,2015,05
92262,MKY,SJO,LATAM,NTK2SCXE52DS64406,2015,05
76588,IST,HND,LATAM,ESAJ5HH9B4R897649,2015,05
51301,NAN,HAV,American,Y30XJRJUJBG518858,2015,05
95412,DME,PHE,LATAM,EWL0Z2975TXG31941,2015,05
14738,DMK,ATL,British Airways,LHT8WSLEW0NE34996,2015,05
93569,ICN,NPE,American,J0J5Z7Z7WEJZ27227,2015,05
33624,LIS,MIR,Qatar,1P5SPPJ6AXMJ43672,2015,05
80726,MDW,ORN,Emirates,WJ13MV7BEHTS11890,2015,05
11092,BNE,JED,Qatar,7C3XXZ4DA6CG73656,2015,05
45386,CHC,SAN,British Airways,BPYXRK2GZPZ255108,2015,05
91200,PMI,CUZ,American,6LVKX8YZTKX795474,2015,05
72063,DXB,NPE,Iberia,NU8YH53LR7R688965,2015,05
81837,LGA,FLL,Qatar,F1ZZXM40FACF96171,2015,05
16987,YYZ,LGA,British Airways,V6KPU7B257Z372990,2015,05
44588,XIY,CWB,LATAM,GAPAR6313SYJ87243,2015,05
87630,IST,JED,Qatar,6P71A9GJV1BE21157,2015,05
77470,ORL,DTW,Emirates,W1F58YDMS7UL12177,2015,05
42561,HAV,AGP,LATAM,SFM50EC75KH757405,2015,05
49041,ZQN,EZE,LATAM,S8H37EGMMVDR67286,2015,05
54826,MCO,HRG,LATAM,ABY7E0WMACRR89833,2015,05
77630,LAD,TSV,Iberia,JDMAXJSWM8LS17385,2015,06
22685,IAH,LGW,Iberia,CXC10AUDEYMJ12377,2015,06
49493,MAN,DKR,Iberia,MBBYETEYLLNK25682,2015,06
61326,ROK,LHR,British Airways,7TJ31ZEWMEE832055,2015,06
35600,HEL,DUR,British Airways,V1335U9WG5UV92583,2015,06
28321,MNL,LAX,Emirates,4894XJXDJ8TC15082,2015,06
20498,CAN,NPE,American,K9KA9PXGH1H785099,2015,06
38641,HEL,CLT,American,NHZXEAY2USMW26768,2015,06
62118,BEL,MEL,British Airways,K4SU9L60VVCN90957,2015,06
74383,FLN,PMR,American,2WTYEFB6R2JA28101,2015,06
56500,CAI,ALG,American,L6B8LTTGXJAE39258,2015,06
70096,DEN,VCP,Emirates,UZW7E8DEMKNC27577,2015,06
25780,DEN,HGH,British Airways,8P2LJG7B1NJV61810,2015,06
28671,ALG,MAD,Iberia,F0K2Z9UX33PU37900,2015,06
34532,ADL,CAN,Iberia,63UF1EHNYNR158443,2015,06
50950,DTW,HGH,Emirates,6XEYM8JPU3S469368,2015,06
83667,FCO,KTA,Emirates,9BCM0CW8LUPM92868,2015,06
85763,YYZ,AGP,Emirates,69Y2ECB17EDU40355,2015,06
22655,CWB,DJE,American,DFLSRR5PUKMS70892,2015,06
52213,TPE,DJE,British Airways,7BR4T7RP39U193385,2015,06
29112,DUS,MDW,LATAM,HPWWGW18KFP796050,2015,06
87330,ICN,YYZ,American,6D2HL91LNTBL15109,2015,06
99832,MSP,NPE,LATAM,3DN9AUP9PSEP59482,2015,06
13838,DFW,STN,American,XPB407S86XGU66099,2015,06
24537,MNL,PLZ,American,R2MANR0JACN499062,2015,06
11362,CWB,EWR,Qatar,CCHKF02FTESA79312,2015,06
96057,EZE,HRG,Emirates,UE9X7V5Z11A015226,2015,06
72663,ATH,GYN,Qatar,E4379M3HNYZ571537,2015,06
97910,TUN,BRU,LATAM,4CBWDH1W6XWX94701,2015,06
54468,SSA,CNF,LATAM,6H850VW0FKVP61015,2015,06
88530,CAI,SIN,American,MC2C16WNY4YR34067,2015,07
86309,PHL,PHL,Iberia,4LP834VPFXH125886,2015,07
10094,DKR,KUL,American,3R23FX6KBCGK91159,2015,07
78594,TXL,POA,American,BGDG8VML8SLW12291,2015,07
67255,ATH,SAN,American,VFCYK0T039CC48381,2015,07
41639,FRA,SHA,Qatar,6ZV0WTWGU2WA51560,2015,07
18127,STN,DFW,LATAM,V5LMJWWAEFX016425,2015,07
55696,SZX,DCA,Emirates,9DFBYBXB1JGC95748,2015,07
22547,NKG,LAD,Emirates,RERNTRYEKGDY64105,2015,07
78042,DFW,DEL,British Airways,U5DGG1AXRGZG74927,2015,07
66436,MUC,CKG,American,WT8BTHPVJJSB34114,2015,07
75655,ORL,NKG,British Airways,32WJCN15D7M037192,2015,07
40012,IAH,DCA,Emirates,6UX4PH6W1DJF64937,2015,07
29084,DFW,CBR,LATAM,VCM1SEL0XVKX65872,2015,07
78427,POM,MIA,Emirates,RAKWPHP4A0N085198,2015,07
91821,SZX,CDG,LATAM,CKWCENCVLPUB66203,2015,07
10105,HKG,HTI,American,U46D4YEUN1PX38744,2015,07
69358,DUS,BWI,Iberia,A4C891UBFDPD67380,2015,07
63891,ABV,MUC,Emirates,E7LLD5B353UU34649,2015,07
36228,ICN,SDU,British Airways,CECK6NSK6CJ763745,2015,07
20785,ABV,RAK,Iberia,R38G658WL9UG33409,2015,07
16476,GDL,MEX,American,3N7XHDZV0GWN48439,2015,07
92615,NAN,SAW,Qatar,XMTYZ0L475JZ21459,2015,07
48209,LGW,KUL,Qatar,JY6SJA0FT3D029824,2015,07
59537,TSV,ABJ,Emirates,314ZC264DDH252475,2015,07
92872,SEA,CPH,British Airways,CW2AFGSB10WB11275,2015,07
11413,ARN,BEL,LATAM,0X4X0EXCDLU974628,2015,07
67567,AKL,DME,British Airways,FTS066CAR9VV38233,2015,07
42188,ABV,NTL,British Airways,C1NU8RJ8V6T770231,2015,07
21609,DOH,DEL,Iberia,JVACPZE540RK49144,2015,07
61470,HBA,LGW,LATAM,5R3CP6FTL1DM19556,2015,08
90115,BNE,BWI,American,B0Y1H3S0FZMW45138,2015,08
23782,PMR,EZE,British Airways,49MPK3GDNEY661122,2015,08
18216,DKR,HBA,Iberia,V1YB3TV0BEEH75743,2015,08
84142,HRG,REC,Qatar,UR7SZW8H8XRH73508,2015,08
89205,MCY,RUN,LATAM,UZWN3A7G7ZCB39141,2015,08
37244,KRT,HND,Emirates,GTS0S1UV4GL412324,2015,08
43894,PHX,REC,LATAM,NTL3MB693HSB22499,2015,08
53595,POA,SEA,American,6MVLF0YC12DB91909,2015,08
16578,DLA,CNF,Emirates,5ZE9W325B8ZY28516,2015,08
73034,HAV,XIY,American,8EE1V99SGXE021724,2015,08
15156,HBA,HND,Iberia,K53AF5T2BBEA96497,2015,08
53465,FOR,JFK,Qatar,PZ5XEMZFSPV192250,2015,08
22398,CUZ,SHA,LATAM,JW8594D096HH78608,2015,08
24437,LHR,SSH,American,XJTJXBKV2XFD22749,2015,08
63622,KIX,MIA,Iberia,3Y8TJYD809SV17516,2015,08
77165,ORN,KRT,British Airways,JA03Y06Y9YV931734,2015,08
91669,CLT,MXP,Emirates,JDAW10BBRGKD94454,2015,08
65989,SVO,HBE,Emirates,74KFDPZY9XNL61974,2015,08
83669,CWB,VIE,Qatar,U7VGNBMU6WC138651,2015,08
13124,MEX,FRA,Qatar,YEB1BZXC6NAH59504,2015,08
89201,SZX,IAH,American,LUN0MMX6M3K330655,2015,08
