ticketID,passengerID,flightNumber,flightType,seatNumber
98089901,91125550,22792,first class,19F
49293356,49088434,36225,bussines,17E
13873402,49141059,28437,economy,30E
20197016,20368872,21528,bussines,30B
52738661,65971818,32947,bussines,7B
48069545,08502117,43098,bussines,7A
36741298,23005087,28319,first class,14D
96199256,86841446,18222,first class,18F
82118043,84040165,65362,first class,20E
93688307,97517053,44815,bussines,9A
44851014,43741029,26276,bussines,16B
47817528,00631217,52018,economy,24D
75502683,87719372,65539,bussines,3D
45129974,88426369,67567,economy,12B
55212682,14843002,74859,first class,5D
57436654,40611777,20785,first class,23B
86920522,74940519,41493,economy,18E
78784905,65650108,93949,first class,16C
75101259,78769656,43715,bussines,28E
80441101,29053196,25211,first class,15F
22762205,69899597,13462,first class,32E
83493654,39624538,25135,first class,25A
38941493,18242842,78109,economy,12A
69058414,75146748,12374,first class,8A
82983238,78017865,35587,first class,1D
44129696,77996930,78102,economy,7D
01032716,12285166,36808,bussines,10E
71338445,64943175,30225,first class,29E
06525649,18345008,84781,bussines,10E
19412308,12120643,49508,first class,19F
38199912,67223357,20860,first class,18A
49731081,85042395,25211,first class,19C
55722183,81269270,60171,first class,21A
41758684,14465518,87249,first class,5F
05310167,63750196,76483,first class,19C
08239075,94119165,31338,bussines,17B
75795544,09357487,32112,first class,15F
26043202,23562815,88857,bussines,29D
61488169,53272464,73826,bussines,15C
93938739,07763328,24005,economy,11E
91196602,65777414,39294,economy,15E
56124118,84525336,19585,first class,32D
62402103,34041790,26088,bussines,14E
11266597,39595589,47529,first class,14E
64322664,24632317,62709,first class,11E
39428365,29377756,24574,economy,19E
28525873,53267133,78087,bussines,27B
64741281,56495530,26589,first class,32F
28314310,79942270,10123,economy,16C
48565521,19036822,41301,economy,20A
34214671,88823087,46935,first class,16C
50270882,41005029,29708,economy,17F
69651181,03710403,44329,first class,13F
65592125,42680461,47340,bussines,16A
50543781,73484680,42209,first class,15F
95171050,82094869,82235,bussines,21C
29951220,78412867,99016,bussines,31B
13985060,02912177,63250,bussines,22E
03993835,37500175,37769,first class,11D
51846757,51170655,81209,bussines,24C
55224482,01791810,65802,bussines,3E
93762707,22782507,55696,economy,8E
15165281,51842502,21137,economy,24F
06918369,78146307,47773,economy,6D
58936298,68007695,51796,economy,4D
30150293,19241554,35664,first class,6E
71653462,51913313,11623,economy,16A
95952394,00149719,43901,bussines,21E
70854824,68081481,31016,first class,20C
11342257,04080572,60779,first class,21E
53585298,23010495,31433,economy,7D
42165416,38090278,85768,bussines,9C
32697097,99106384,74323,economy,3B
91030241,75445768,37397,economy,11D
38302341,25321576,84523,economy,10C
06444134,94121786,92846,economy,6E
39325950,93098170,23696,bussines,18D
65280548,27441277,60933,economy,17A
80941344,51744292,13003,first class,1B
31185740,58941576,53941,bussines,6F
90552004,51667322,23521,economy,3C
79613076,33847394,82022,first class,28F
86840270,47227945,38432,bussines,12D
66561879,28053821,80165,economy,29B
76189302,81267795,81840,first class,11D
32595538,41371616,98389,first class,3C
02721776,45042511,53797,economy,31C
97050645,71559623,13400,economy,22B
40865426,97480413,76207,first class,9D
98342658,14545160,85768,economy,5A
51843222,81407471,14442,economy,22A
23569430,93531399,62049,first class,8B
33945731,53442960,53662,first class,11C
85333698,80961024,10720,economy,27C
25151461,05751369,98810,economy,9E
55418416,33267011,36405,first class,12D
24935973,86736687,63647,bussines,12D
51143296,08191922,97599,bussines,15C
34362885,13209603,89497,bussines,32E
92534418,45772037,34040,bussines,22D
04768148,60490262,84867,economy,5F
21399375,30814858,33032,first class,18D
25863447,19356584,64012,bussines,29A
37313513,11426116,70711,economy,3C
09037591,15594161,40185,bussines,20E
95161714,92772845,95309,bussines,32F
62124783,49320888,57261,economy,10F
21745060,93883893,72133,economy,6C
19938001,21928809,12086,bussines,9B
49104102,73380772,73450,bussines,9F
27216700,72089691,77128,economy,2A
64846077,91820341,40529,economy,9D
48679413,70538935,51040,bussines,1F
86316739,70653308,49508,first class,2F
96531660,43796654,36776,first class,21F
32623406,11422849,11977,bussines,30B
33659737,31297063,50419,first class,2A
77604860,74384818,83276,bussines,30B
21502408,22865783,94374,economy,10C
46489027,37321511,78284,first class,9D
86510440,97311084,86309,first class,27C
93558042,04175542,69681,bussines,30C
68939771,11677781,32210,first class,27D
49804774,16247184,89593,bussines,14F
20179429,10521197,94460,first class,31F
24088979,06470471,87630,bussines,12A
50655473,12414859,63335,bussines,23D
59873047,91602882,20609,bussines,21B
53275315,16420212,21632,first class,11F
98929118,60942776,11857,first class,4F
91943712,79498282,99693,bussines,19F
98229573,26325184,85065,bussines,5A
92289295,79971432,60478,economy,22B
96067985,50125041,46242,first class,6E
28108910,58486289,68075,first class,9B
71410073,96397692,56687,bussines,19F
72881225,55789880,75011,economy,10A
78773555,87088764,10094,economy,6B
38630800,57383288,43894,bussines,1D
53221967,73240236,83075,economy,11B
08865061,72150565,61326,bussines,16C
47039050,88347390,22944,economy,14C
